"IMDBCode","DATE","X1","X2","X3"
"tt5033998",2022-06-06,"2","5.7%",4071
"tt5033998",2022-06-06,"1","16.1%",11458
"tt2527336",2022-06-06,"10","10.2%",62732
"tt2527336",2022-06-06,"9","11.2%",68651
"tt2527336",2022-06-06,"8","19.9%",122186
"tt2527336",2022-06-06,"7","21.4%",131106
"tt2527336",2022-06-06,"6","12.9%",79046
"tt2527336",2022-06-06,"5","7.2%",44344
"tt2527336",2022-06-06,"4","4.2%",25885
"tt2527336",2022-06-06,"3","3.2%",19659
"tt2527336",2022-06-06,"2","2.6%",16190
"tt2527336",2022-06-06,"1","7.2%",44268
"tt1825683",2022-06-06,"10","14.3%",103734
"tt1825683",2022-06-06,"9","12.5%",90816
"tt1825683",2022-06-06,"8","24.8%",179523
"tt1825683",2022-06-06,"7","24.3%",176497
"tt1825683",2022-06-06,"6","11.7%",84915
"tt1825683",2022-06-06,"5","5.0%",35913
"tt1825683",2022-06-06,"4","2.2%",15924
"tt1825683",2022-06-06,"3","1.3%",9262
"tt1825683",2022-06-06,"2","1.0%",7055
"tt1825683",2022-06-06,"1","3.0%",21550
"tt7713068",2022-06-06,"10","6.5%",14984
"tt7713068",2022-06-06,"9","4.2%",9746
"tt7713068",2022-06-06,"8","11.5%",26449
"tt7713068",2022-06-06,"7","22.3%",51167
"tt7713068",2022-06-06,"6","23.3%",53499
"tt7713068",2022-06-06,"5","13.5%",31010
"tt7713068",2022-06-06,"4","6.8%",15564
"tt7713068",2022-06-06,"3","4.0%",9119
"tt7713068",2022-06-06,"2","2.6%",5962
"tt7713068",2022-06-06,"1","5.2%",11922
"tt0446029",2022-06-06,"10","15.2%",63299
"tt0446029",2022-06-06,"9","16.1%",67289
"tt0446029",2022-06-06,"8","27.3%",113931
"tt0446029",2022-06-06,"7","21.1%",88026
"tt0446029",2022-06-06,"6","9.6%",39933
"tt0446029",2022-06-06,"5","4.4%",18237
"tt0446029",2022-06-06,"4","2.2%",9130
"tt0446029",2022-06-06,"3","1.3%",5460
"tt0446029",2022-06-06,"2","1.0%",4056
"tt0446029",2022-06-06,"1","1.8%",7554
"tt8806524",2022-06-06,"10","23.3%",15711
"tt8806524",2022-06-06,"9","16.9%",11387
"tt8806524",2022-06-06,"8","20.8%",14018
"tt8806524",2022-06-06,"7","13.5%",9117
"tt8806524",2022-06-06,"6","7.0%",4687
"tt8806524",2022-06-06,"5","4.2%",2807
"tt8806524",2022-06-06,"4","2.8%",1864
"tt8806524",2022-06-06,"3","2.5%",1655
"tt8806524",2022-06-06,"2","2.6%",1783
"tt8806524",2022-06-06,"1","6.3%",4260
"tt0475290",2022-06-06,"10","2.6%",3451
"tt0475290",2022-06-06,"9","3.8%",4999
"tt0475290",2022-06-06,"8","13.5%",18014
"tt0475290",2022-06-06,"7","27.6%",36842
"tt0475290",2022-06-06,"6","25.7%",34254
"tt0475290",2022-06-06,"5","13.3%",17664
"tt0475290",2022-06-06,"4","6.0%",8022
"tt0475290",2022-06-06,"3","3.1%",4076
"tt0475290",2022-06-06,"2","1.9%",2517
"tt0475290",2022-06-06,"1","2.6%",3464
"tt3040964",2022-06-06,"10","8.6%",23631
"tt3040964",2022-06-06,"9","12.1%",33116
"tt3040964",2022-06-06,"8","30.0%",82092
"tt3040964",2022-06-06,"7","29.5%",80756
"tt3040964",2022-06-06,"6","12.3%",33657
"tt3040964",2022-06-06,"5","4.2%",11377
"tt3040964",2022-06-06,"4","1.6%",4281
"tt3040964",2022-06-06,"3","0.7%",1960
"tt3040964",2022-06-06,"2","0.4%",1104
"tt3040964",2022-06-06,"1","0.7%",1874
"tt5108870",2022-06-06,"10","11.3%",8120
"tt5108870",2022-06-06,"9","3.6%",2572
"tt5108870",2022-06-06,"8","6.3%",4537
"tt5108870",2022-06-06,"7","12.6%",9043
"tt5108870",2022-06-06,"6","18.8%",13489
"tt5108870",2022-06-06,"5","16.5%",11793
"tt5108870",2022-06-06,"4","10.1%",7236
"tt5108870",2022-06-06,"3","6.8%",4872
"tt5108870",2022-06-06,"2","4.8%",3433
"tt5108870",2022-06-06,"1","9.2%",6570
