"IMDBCode","DATE","X1","X2","X3"
"tt0378194",2022-06-04,"7","16.9%",125135
"tt0378194",2022-06-04,"6","6.1%",44845
"tt0378194",2022-06-04,"5","2.5%",18311
"tt0378194",2022-06-04,"4","1.1%",8293
"tt0378194",2022-06-04,"3","0.7%",5078
"tt0378194",2022-06-04,"2","0.6%",4711
"tt0378194",2022-06-04,"1","1.5%",10977
"tt5033998",2022-06-04,"10","6.8%",4835
"tt5033998",2022-06-04,"9","2.6%",1843
"tt5033998",2022-06-04,"8","6.1%",4379
"tt5033998",2022-06-04,"7","11.8%",8434
"tt5033998",2022-06-04,"6","17.2%",12238
"tt5033998",2022-06-04,"5","16.3%",11576
"tt5033998",2022-06-04,"4","10.2%",7239
"tt5033998",2022-06-04,"3","7.2%",5159
"tt5033998",2022-06-04,"2","5.7%",4071
"tt5033998",2022-06-04,"1","16.1%",11457
"tt2527336",2022-06-04,"10","10.2%",62723
"tt2527336",2022-06-04,"9","11.2%",68646
"tt2527336",2022-06-04,"8","19.9%",122161
"tt2527336",2022-06-04,"7","21.4%",131093
"tt2527336",2022-06-04,"6","12.9%",79020
"tt2527336",2022-06-04,"5","7.2%",44327
"tt2527336",2022-06-04,"4","4.2%",25866
"tt2527336",2022-06-04,"3","3.2%",19651
"tt2527336",2022-06-04,"2","2.6%",16186
"tt2527336",2022-06-04,"1","7.2%",44247
"tt1825683",2022-06-04,"10","14.3%",103717
"tt1825683",2022-06-04,"9","12.5%",90798
"tt1825683",2022-06-04,"8","24.8%",179485
"tt1825683",2022-06-04,"7","24.3%",176454
"tt1825683",2022-06-04,"6","11.7%",84891
"tt1825683",2022-06-04,"5","5.0%",35906
"tt1825683",2022-06-04,"4","2.2%",15917
"tt1825683",2022-06-04,"3","1.3%",9260
"tt1825683",2022-06-04,"2","1.0%",7053
"tt1825683",2022-06-04,"1","3.0%",21548
"tt7713068",2022-06-04,"10","6.5%",14981
"tt7713068",2022-06-04,"9","4.2%",9744
"tt7713068",2022-06-04,"8","11.5%",26444
"tt7713068",2022-06-04,"7","22.3%",51148
"tt7713068",2022-06-04,"6","23.3%",53483
"tt7713068",2022-06-04,"5","13.5%",31000
"tt7713068",2022-06-04,"4","6.8%",15558
"tt7713068",2022-06-04,"3","4.0%",9118
"tt7713068",2022-06-04,"2","2.6%",5959
"tt7713068",2022-06-04,"1","5.2%",11920
"tt0446029",2022-06-04,"10","15.2%",63288
"tt0446029",2022-06-04,"9","16.1%",67280
"tt0446029",2022-06-04,"8","27.3%",113920
"tt0446029",2022-06-04,"7","21.1%",88019
"tt0446029",2022-06-04,"6","9.6%",39930
"tt0446029",2022-06-04,"5","4.4%",18234
"tt0446029",2022-06-04,"4","2.2%",9128
"tt0446029",2022-06-04,"3","1.3%",5459
"tt0446029",2022-06-04,"2","1.0%",4056
"tt0446029",2022-06-04,"1","1.8%",7553
"tt8806524",2022-06-04,"10","23.4%",15703
"tt8806524",2022-06-04,"9","16.9%",11381
"tt8806524",2022-06-04,"8","20.8%",14008
"tt8806524",2022-06-04,"7","13.5%",9104
"tt8806524",2022-06-04,"6","7.0%",4680
"tt8806524",2022-06-04,"5","4.2%",2802
"tt8806524",2022-06-04,"4","2.8%",1858
"tt8806524",2022-06-04,"3","2.5%",1654
"tt8806524",2022-06-04,"2","2.6%",1778
"tt8806524",2022-06-04,"1","6.3%",4253
"tt0475290",2022-06-04,"10","2.6%",3450
"tt0475290",2022-06-04,"9","3.8%",4999
"tt0475290",2022-06-04,"8","13.5%",18011
"tt0475290",2022-06-04,"7","27.6%",36833
"tt0475290",2022-06-04,"6","25.7%",34249
"tt0475290",2022-06-04,"5","13.2%",17659
"tt0475290",2022-06-04,"4","6.0%",8021
"tt0475290",2022-06-04,"3","3.1%",4076
"tt0475290",2022-06-04,"2","1.9%",2516
"tt0475290",2022-06-04,"1","2.6%",3464
"tt3040964",2022-06-04,"10","8.6%",23630
"tt3040964",2022-06-04,"9","12.1%",33115
"tt3040964",2022-06-04,"8","30.0%",82089
"tt3040964",2022-06-04,"7","29.5%",80751
"tt3040964",2022-06-04,"6","12.3%",33651
"tt3040964",2022-06-04,"5","4.2%",11376
"tt3040964",2022-06-04,"4","1.6%",4280
"tt3040964",2022-06-04,"3","0.7%",1960
"tt3040964",2022-06-04,"2","0.4%",1104
"tt3040964",2022-06-04,"1","0.7%",1874
"tt5108870",2022-06-04,"10","11.3%",7958
"tt5108870",2022-06-04,"9","3.6%",2563
"tt5108870",2022-06-04,"8","6.3%",4481
"tt5108870",2022-06-04,"7","12.6%",8926
"tt5108870",2022-06-04,"6","18.8%",13295
"tt5108870",2022-06-04,"5","16.4%",11600
"tt5108870",2022-06-04,"4","10.1%",7117
"tt5108870",2022-06-04,"3","6.8%",4783
"tt5108870",2022-06-04,"2","4.8%",3377
"tt5108870",2022-06-04,"1","9.2%",6472
